"Time (s) Run #1","Position (mm) Run #1","Time (s) Run #2","Position (mm) Run #2","Time (s) Run #3","Position (mm) Run #3","Time (s) Run #4","Position (mm) Run #4","Time (s) Run #5","Position (mm) Run #5","Time (s) Run #6","Position (mm) Run #6","Time (s) Run #7","Position (mm) Run #7","Time (s) Run #8","Position (mm) Run #8","Time (s) Run #9","Position (mm) Run #9","Time (s) Run #10","Position (mm) Run #10","Time (s) Run #11","Position (mm) Run #11","Time (s) Run #12","Position (mm) Run #12","Time (s) Run #13","Position (mm) Run #13","Time (s) Run #14","Position (mm) Run #14","Time (s) Run #15","Position (mm) Run #15","Time (s) Run #16","Position (mm) Run #16","Time (s) Run #17","Position (mm) Run #17","Time (s) Run #18","Position (mm) Run #18","Time (s) Run #19","Position (mm) Run #19","Time (s) Run #20","Position (mm) Run #20","Time (s) Run #21","Position (mm) Run #21","Time (s) Run #22","Position (mm) Run #22","Time (s) Run #23","Position (mm) Run #23","Time (s) Run #24","Position (mm) Run #24","Time (s) Run #25","Position (mm) Run #25","Time (s) Run #26","Position (mm) Run #26","Time (s) Run #27","Position (mm) Run #27","Time (s) Run #28","Position (mm) Run #28","Time (s) Run #29","Position (mm) Run #29","Time (s) Run #30","Position (mm) Run #30","Time (s) Run #31","Position (mm) Run #31","Time (s) Run #32","Position (mm) Run #32","Time (s) Run #33","Position (mm) Run #33","Time (s) Run #34","Position (mm) Run #34","Time (s) Run #35","Position (mm) Run #35","Time (s) Run #36","Position (mm) Run #36","Time (s) Run #37","Position (mm) Run #37","Time (s) Run #38","Position (mm) Run #38","Time (s) Run #39","Position (mm) Run #39","Time (s) Run #40","Position (mm) Run #40","Time (s) Run #41","Position (mm) Run #41","Time (s) Run #42","Position (mm) Run #42","Time (s) Run #43","Position (mm) Run #43","Time (s) Run #44","Position (mm) Run #44","Time (s) Run #45","Position (mm) Run #45","Time (s) Run #46","Position (mm) Run #46","Time (s) Run #48","Position (mm) Run #48","Time (s) Run #49","Position (mm) Run #49","Time (s) Run #50","Position (mm) Run #50","Time (s) Run #51","Position (mm) Run #51","Time (s) Run #52","Position (mm) Run #52","Time (s) Run #53","Position (mm) Run #53","Time (s) Run #54","Position (mm) Run #54","Time (s) Run #55","Position (mm) Run #55","Time (s) Run #56","Position (mm) Run #56","Time (s) Run #57","Position (mm) Run #57","Time (s) Run #58","Position (mm) Run #58","Time (s) Run #59","Position (mm) Run #59","Time (s) Run #60","Position (mm) Run #60","Time (s) Run #61","Position (mm) Run #61","Time (s) Run #62","Position (mm) Run #62","Time (s) Run #63","Position (mm) Run #63","Time (s) Run #64","Position (mm) Run #64","Time (s) Run #65","Position (mm) Run #65","Time (s) Run #66","Position (mm) Run #66","Time (s) Run #67","Position (mm) Run #67","Time (s) Run #68","Position (mm) Run #68","Time (s) Run #70","Position (mm) Run #70","Time (s) Run #71","Position (mm) Run #71","Time (s) Run #72","Position (mm) Run #72","Time (s) Run #73","Position (mm) Run #73"
0.000,501.34027326,0.000,518.18418158,0.000,535.67286543,0.000,533.47593583,0.000,479.02658855,0.000,465.22264981,0.000,550.10404162,0.000,480.33559728,0.000,440.08198770,0.000,485.99148936,0.000,473.08177360,0.000,501.54491856,0.000,467.08604628,0.000,434.29656275,0.000,429.01129661,0.000,447.54267408,0.000,462.46745444,0.000,448.41103711,0.000,424.88657939,0.000,442.52677946,0.000,437.66473062,0.000,412.50387868,0.000,448.50850851,0.000,456.48472709,0.000,446.48459033,0.000,383.08347103,0.000,445.42175917,0.000,439.69147551,0.000,552.45147088,0.000,539.08135695,0.000,553.31198719,0.000,560.95180964,0.000,550.00750638,0.000,554.55572779,0.000,533.81388597,0.000,549.29281823,0.000,539.96199620,0.000,534.94303418,0.000,540.43386984,0.000,540.29883564,0.000,517.48713079,0.000,529.82603479,0.000,520.33180092,0.000,527.26036982,0.000,512.50525473,0.000,509.69966518,0.000,494.76744767,0.000,480.97107748,0.000,461.25593246,0.000,481.53469551,0.000,493.98221245,0.000,429.97850107,0.000,461.24537731,0.000,423.42165783,0.000,453.22408194,0.000,447.32033983,0.000,422.50137411,0.000,455.97401949,0.000,477.72045591,0.000,461.97386210,0.000,459.82584326,0.000,441.59840160,0.000,453.22408194,0.000,445.06321523,0.000,413.45327336,0.000,422.58879952,0.000,406.51576475,0.000,417.41232890,0.000,420.63536464,0.000,459.49272100,0.000,459.81304674
0.010,497.96947711,0.010,518.26903858,0.010,536.36072785,0.010,535.02323954,0.010,473.69927446,0.010,466.69998001,0.010,548.67260178,0.010,484.41026665,0.010,440.31175060,0.010,481.58966915,0.010,469.95946555,0.010,504.25357464,0.010,460.97412024,0.010,436.95904096,0.010,429.69933074,0.010,443.55991591,0.010,457.59887854,0.010,442.89332733,0.010,427.20751324,0.010,438.67273910,0.010,432.79863823,0.010,409.19181304,0.010,445.06506507,0.010,451.27178049,0.010,438.48542522,0.010,377.65329599,0.010,438.95474569,0.010,433.68146998,0.010,550.41376895,0.010,536.59112512,0.010,551.24674805,0.010,561.69583042,0.010,547.08101887,0.010,554.43916587,0.010,529.82680949,0.010,550.89518668,0.010,539.26740293,0.010,537.00579652,0.010,541.46556033,0.010,542.24399020,0.010,518.93069505,0.010,530.46086174,0.010,522.42066863,0.010,529.00594732,0.010,509.30451316,0.010,511.53949933,0.010,497.53982920,0.010,484.21178821,0.010,464.13107548,0.010,484.40781258,0.010,496.38852803,0.010,429.89256983,0.010,462.64083100,0.010,423.55386768,0.010,455.75660688,0.010,448.81518482,0.010,424.71469971,0.010,458.52917666,0.010,478.21706976,0.010,456.72705435,0.010,456.70419857,0.010,444.99051044,0.010,455.80214839,0.010,446.64169788,0.010,414.94430848,0.010,425.40405554,0.010,408.48496954,0.010,420.44253534,0.010,424.02956748,0.010,457.59967982,0.010,460.67283179
0.020,495.36275393,0.020,520.33180092,0.020,537.12914354,0.020,536.59736106,0.020,471.07019563,0.020,468.66906475,0.020,547.74987494,0.020,488.87646060,0.020,442.77397773,0.020,477.90211190,0.020,466.98623968,0.020,504.32019188,0.020,456.99068976,0.020,440.35161323,0.020,433.37094922,0.020,439.72772773,0.020,453.12105737,0.020,438.99869831,0.020,430.27923473,0.020,435.40163155,0.020,428.29937422,0.020,406.22466850,0.020,441.62162162,0.020,446.47138351,0.020,432.47584239,0.020,376.77174022,0.020,434.93064944,0.020,429.05267374,0.020,548.14888933,0.020,534.67133567,0.020,549.20898584,0.020,562.12410621,0.020,544.18176359,0.020,553.97849462,0.020,526.03864251,0.020,552.18156369,0.020,541.32066983,0.020,539.09549748,0.020,542.55148970,0.020,543.81847261,0.020,521.24337831,0.020,531.54569086,0.020,524.33783108,0.020,530.57976809,0.020,506.84410646,0.020,513.74837614,0.020,501.44119850,0.020,487.64835165,0.020,467.37262737,0.020,487.67271092,0.020,498.81976715,0.020,432.10552613,0.020,466.74057428,0.020,425.51031623,0.020,458.65521031,0.020,452.22915938,0.020,427.07833733,0.020,461.30202348,0.020,480.15986412,0.020,453.56017013,0.020,453.80042038,0.020,448.79276759,0.020,458.38021484,0.020,451.11655093,0.020,418.55251985,0.020,429.16246317,0.020,412.97178527,0.020,424.07192807,0.020,427.80940965,0.020,455.72943766,0.020,461.60183982
0.030,492.87908350,0.030,522.44677661,0.030,537.35486774,0.030,537.99970010,0.030,468.80928557,0.030,471.32467532,0.030,546.08365019,0.030,493.26876030,0.030,448.02318030,0.030,474.77956263,0.030,464.38106675,0.030,506.63068466,0.030,453.17983883,0.030,444.08709549,0.030,438.07431083,0.030,436.26244933,0.030,448.59831798,0.030,434.52087714,0.030,433.50082413,0.030,432.10889801,0.030,423.95154428,0.030,403.58214929,0.030,438.20011012,0.030,441.45403565,0.030,428.01843318,0.030,374.49321788,0.030,429.95693540,0.030,424.25116419,0.030,546.11097213,0.030,532.89715886,0.030,546.97153150,0.030,562.00830125,0.030,541.13713714,0.030,553.20128051,0.030,522.22433555,0.030,552.92470753,0.030,542.23466480,0.030,541.01349325,0.030,543.26651002,0.030,545.24842547,0.030,522.96251874,0.030,532.28677132,0.030,526.08326253,0.030,531.98180637,0.030,504.65262842,0.030,516.20627623,0.030,505.91267859,0.030,491.08491508,0.030,470.80919081,0.030,490.93760927,0.030,501.07935239,0.030,434.46842526,0.030,471.17638244,0.030,428.47464402,0.030,461.74842642,0.030,455.86013986,0.030,429.78519333,0.030,463.85691447,0.030,483.27452646,0.030,451.02336986,0.030,450.67907722,0.030,452.42357642,0.030,461.00434717,0.030,454.06075140,0.030,422.18181818,0.030,433.09228925,0.030,417.22474659,0.030,427.50849151,0.030,431.54614463,0.030,453.68689648,0.030,461.94580542
0.040,490.96148074,0.040,524.16591704,0.040,537.20972097,0.040,539.33806619,0.040,466.67400330,0.040,474.73752560,0.040,544.15453135,0.040,498.27441582,0.040,451.07990605,0.040,471.78224757,0.040,461.92515509,0.040,508.32442157,0.040,449.54154154,0.040,448.18776529,0.040,442.17528090,0.040,432.92634107,0.040,444.46535843,0.040,430.00000000,0.040,437.06537482,0.040,428.98864034,0.040,419.96996696,0.040,401.49682325,0.040,434.56256256,0.040,436.65314706,0.040,421.79413974,0.040,370.61771620,0.040,424.74664530,0.040,419.27691537,0.040,543.87351779,0.040,531.46744023,0.040,544.73407715,0.040,561.60456160,0.040,537.69369369,0.040,551.85233355,0.040,518.55662880,0.040,553.32400000,0.040,542.83200000,0.040,542.78688525,0.040,543.83680816,0.040,546.33473305,0.040,524.73410636,0.040,532.65736713,0.040,527.65693723,0.040,533.26534693,0.040,503.67493995,0.040,518.34674397,0.040,509.03132338,0.040,494.54618113,0.040,474.24575425,0.040,494.17782218,0.040,503.16725801,0.040,437.19638307,0.040,474.41758242,0.040,431.05271047,0.040,464.81842250,0.040,459.29670330,0.040,432.90003497,0.040,466.65334266,0.040,484.84606158,0.040,448.16416416,0.040,447.77499750,0.040,455.86013986,0.040,463.23889472,0.040,456.83337497,0.040,425.59712302,0.040,437.30269730,0.040,421.94676122,0.040,430.96658175,0.040,435.66919696,0.040,451.47203042,0.040,462.33600000
0.050,489.16720852,0.050,525.91133990,0.050,536.89253388,0.050,539.76298815,0.050,464.79980005,0.050,478.29795735,0.050,541.28221811,0.050,503.05856508,0.050,452.69939569,0.050,469.41953563,0.050,459.85991595,0.050,510.11341494,0.050,446.03112646,0.050,452.45980226,0.050,446.42532581,0.050,430.12909036,0.050,440.33239888,0.050,425.82440685,0.050,440.95076401,0.050,426.10479956,0.050,416.14014014,0.050,399.56380371,0.050,431.07596837,0.050,431.63629081,0.050,415.74276270,0.050,369.33940091,0.050,419.92389345,0.050,414.06769477,0.050,541.58187003,0.050,530.38207642,0.050,542.41520760,0.050,560.42817127,0.050,534.30373411,0.050,550.41376895,0.050,515.23394886,0.050,553.43468694,0.050,542.83200000,0.050,544.21673498,0.050,544.06320316,0.050,547.07729227,0.050,526.10955618,0.050,532.88264413,0.050,529.05882941,0.050,533.95320936,0.050,500.89567175,0.050,519.97200840,0.050,511.95284009,0.050,497.83594765,0.050,477.73004296,0.050,497.71382894,0.050,505.08345827,0.050,440.09591368,0.050,477.87801588,0.050,433.56579079,0.050,468.10670397,0.050,462.75638144,0.050,435.77801089,0.050,469.05965824,0.050,486.27011896,0.050,444.72072072,0.050,444.65395586,0.050,459.34259167,0.050,465.49670198,0.050,459.43439592,0.050,429.22677323,0.050,440.76127679,0.050,425.87694766,0.050,434.25317215,0.050,439.90209301,0.050,449.06234364,0.050,462.38223822
0.060,487.86517978,0.060,527.48500600,0.060,536.45693708,0.060,539.61796180,0.060,465.86917383,0.060,482.22532960,0.060,538.06496822,0.060,508.03934295,0.060,456.62804634,0.060,466.66533227,0.060,457.74887444,0.060,512.92212336,0.060,442.99379628,0.060,457.01728099,0.060,451.04054324,0.060,427.65521037,0.060,436.15577135,0.060,421.99399399,0.060,445.50594346,0.060,422.77021617,0.060,412.67604224,0.060,398.01510680,0.060,427.97717946,0.060,426.79216943,0.060,409.84375000,0.060,368.84176835,0.060,415.08035848,0.060,409.22445301,0.060,539.71582950,0.060,529.77342070,0.060,540.72139677,0.060,559.13552454,0.060,530.32974731,0.060,548.20374262,0.060,512.23056139,0.060,552.77419355,0.060,542.88628863,0.060,545.27568108,0.060,543.91839184,0.060,547.47600000,0.060,527.53773868,0.060,532.73727373,0.060,530.31542114,0.060,534.72126394,0.060,498.31373530,0.060,521.00369889,0.060,514.92580565,0.060,500.92916375,0.060,480.75121123,0.060,500.48863352,0.060,506.85325870,0.060,443.16699136,0.060,481.16694975,0.060,436.63719467,0.060,471.19992007,0.060,466.02127978,0.060,438.97712516,0.060,471.48953180,0.060,487.32616846,0.060,441.25519243,0.060,441.74957462,0.060,462.41270793,0.060,467.58282944,0.060,461.86378854,0.060,432.64172619,0.060,444.02617513,0.060,430.02147530,0.060,437.28085510,0.060,443.18912978,0.060,446.69735789,0.060,462.06130920
0.070,487.32473247,0.070,528.88688959,0.070,535.45140799,0.070,539.32786557,0.070,465.34393917,0.070,486.46985364,0.070,534.50267808,0.070,512.99450824,0.070,460.68207919,0.070,463.84149697,0.070,455.95958586,0.070,513.97950512,0.070,441.03888305,0.070,460.72808989,0.070,455.82705078,0.070,425.71957381,0.070,432.34596326,0.070,418.48771456,0.070,449.28578564,0.070,419.88994497,0.070,409.34347478,0.070,396.38709677,0.070,424.83586869,0.070,422.14189155,0.070,404.29043565,0.070,368.13522028,0.070,410.40953239,0.070,404.55392010,0.070,537.59679840,0.070,528.38400000,0.070,538.80140070,0.070,557.46559231,0.070,527.87987988,0.070,545.82136602,0.070,509.76986192,0.070,551.99679872,0.070,542.56938541,0.070,546.21737826,0.070,543.60154023,0.070,547.50337517,0.070,528.59585104,0.070,532.44648930,0.070,531.20175965,0.070,534.92000000,0.070,495.70699490,0.070,522.06148463,0.070,517.50387210,0.070,504.07274181,0.070,484.28685577,0.070,503.01643603,0.070,508.22870852,0.070,446.38729334,0.070,484.26016585,0.070,439.88011988,0.070,474.29313618,0.070,469.28617813,0.070,442.75696734,0.070,473.74775135,0.070,488.21035793,0.070,437.98408488,0.070,438.62883451,0.070,465.74740208,0.070,469.49725137,0.070,464.14472040,0.070,436.29352115,0.070,447.31341792,0.070,433.95125849,0.070,440.93311354,0.070,446.30464106,0.070,443.94315452,0.070,461.59139785
0.080,486.95634782,0.080,530.14346413,0.080,534.27370948,0.080,538.69360808,0.080,463.17284136,0.080,489.56356736,0.080,530.59524406,0.080,518.35381081,0.080,465.31981825,0.080,461.58094857,0.080,454.70967742,0.080,514.86502699,0.080,438.06855141,0.080,464.92985172,0.080,460.80782865,0.080,424.08602151,0.080,428.68725289,0.080,415.51963973,0.080,453.04300055,0.080,418.10633722,0.080,406.56892670,0.080,395.50710142,0.080,422.06054541,0.080,417.44981227,0.080,399.10269891,0.080,367.54562272,0.080,405.87075136,0.080,400.01601842,0.080,535.84913211,0.080,528.22553234,0.080,537.05367415,0.080,554.11128903,0.080,524.43643644,0.080,543.34818077,0.080,507.62843279,0.080,550.67533767,0.080,542.10752688,0.080,546.58867057,0.080,543.13978495,0.080,547.41348270,0.080,529.48210358,0.080,531.78494624,0.080,531.94280572,0.080,534.97349735,0.080,493.29730812,0.080,522.99970003,0.080,520.15990406,0.080,506.84786410,0.080,488.50749251,0.080,506.01379035,0.080,509.65510347,0.080,449.99550472,0.080,487.37772893,0.080,443.29454073,0.080,477.38635228,0.080,472.57468279,0.080,446.53680951,0.080,475.83429114,0.080,488.94710529,0.080,434.71297733,0.080,435.70234699,0.080,468.47379727,0.080,471.26349460,0.080,466.08226298,0.080,439.53646354,0.080,450.42913524,0.080,438.11807012,0.080,444.28678491,0.080,449.24860112,0.080,441.21102937,0.080,460.75422627
0.090,486.68699695,0.090,530.97670699,0.090,532.95047524,0.090,537.71508603,0.090,463.25218695,0.090,493.98042740,0.090,526.31621107,0.090,522.00329555,0.090,469.91062959,0.090,459.46973487,0.090,453.78137814,0.090,515.60443956,0.090,435.44303797,0.090,469.95755730,0.090,465.85838410,0.090,423.18347752,0.090,425.35228183,0.090,412.87572544,0.090,456.99445638,0.090,416.94362463,0.090,403.94656527,0.090,394.77947795,0.090,419.45762033,0.090,413.14443054,0.090,394.06799179,0.090,367.68084787,0.090,401.91019673,0.090,396.05546378,0.090,534.27370948,0.090,529.23076923,0.090,535.47819128,0.090,551.35708567,0.090,520.96691857,0.090,540.07707322,0.090,506.00380114,0.090,549.00940564,0.090,541.27438231,0.090,546.81534077,0.090,542.33381684,0.090,546.78003401,0.090,530.22297770,0.090,530.97784224,0.090,532.31338433,0.090,534.68293659,0.090,490.86306099,0.090,523.39600000,0.090,522.27486257,0.090,509.45138403,0.090,491.91948454,0.090,508.47091745,0.090,510.73785243,0.090,453.44517675,0.090,490.34823882,0.090,446.85811317,0.090,480.52757794,0.090,475.73919560,0.090,450.36163836,0.090,477.74912544,0.090,489.34000000,0.090,431.42027825,0.090,432.75420336,0.090,471.44241819,0.090,472.63894442,0.090,467.62956669,0.090,443.01728444,0.090,453.37330136,0.090,441.89791230,0.090,446.88717897,0.090,452.04356950,0.090,438.30647583,0.090,459.76790716
