"Time (s) Run #1","Position (mm) Run #1","Time (s) Run #2","Position (mm) Run #2","Time (s) Run #3","Position (mm) Run #3","Time (s) Run #4","Position (mm) Run #4","Time (s) Run #5","Position (mm) Run #5","Time (s) Run #7","Position (mm) Run #7","Time (s) Run #8","Position (mm) Run #8","Time (s) Run #9","Position (mm) Run #9","Time (s) Run #10","Position (mm) Run #10","Time (s) Run #11","Position (mm) Run #11","Time (s) Run #12","Position (mm) Run #12","Time (s) Run #13","Position (mm) Run #13","Time (s) Run #14","Position (mm) Run #14","Time (s) Run #15","Position (mm) Run #15","Time (s) Run #16","Position (mm) Run #16","Time (s) Run #17","Position (mm) Run #17","Time (s) Run #18","Position (mm) Run #18","Time (s) Run #19","Position (mm) Run #19","Time (s) Run #20","Position (mm) Run #20","Time (s) Run #21","Position (mm) Run #21","Time (s) Run #22","Position (mm) Run #22","Time (s) Run #23","Position (mm) Run #23","Time (s) Run #24","Position (mm) Run #24","Time (s) Run #25","Position (mm) Run #25","Time (s) Run #26","Position (mm) Run #26","Time (s) Run #27","Position (mm) Run #27","Time (s) Run #28","Position (mm) Run #28","Time (s) Run #29","Position (mm) Run #29","Time (s) Run #30","Position (mm) Run #30","Time (s) Run #31","Position (mm) Run #31","Time (s) Run #32","Position (mm) Run #32","Time (s) Run #33","Position (mm) Run #33"
0.000,281.60624094,0.000,279.87198720,0.000,279.51397570,0.000,280.03000150,0.000,281.42014201,0.000,346.92546273,0.000,280.89004450,0.000,278.32383238,0.000,279.87198720,0.000,279.16995850,0.000,279.35593559,0.000,279.35593559,0.000,280.90063044,0.000,280.87252351,0.000,281.42014201,0.000,281.93619362,0.000,280.64425770,0.000,279.76991947,0.000,271.42957148,0.000,276.61749262,0.000,279.15600000,0.000,540.93789100,0.000,530.46326439,0.000,242.26320788,0.000,284.24348522,0.000,275.46841394,0.000,277.15558224,0.000,280.04400440,0.000,277.50537634,0.000,276.52069586,0.000,249.02877698,0.000,232.42079976
0.010,281.04800000,0.010,279.38824470,0.010,279.31403430,0.010,279.83000850,0.010,281.04800000,0.010,345.23914349,0.010,280.67593241,0.010,277.95200000,0.010,279.45808129,0.010,278.97005150,0.010,278.99794990,0.010,278.98400000,0.010,278.30991550,0.010,278.64000000,0.010,281.04800000,0.010,281.57807890,0.010,279.14204290,0.010,278.42623606,0.010,271.18976205,0.010,276.08760876,0.010,279.15600000,0.010,537.69369369,0.010,524.48893783,0.010,243.47895631,0.010,282.92585371,0.010,274.33259956,0.010,274.05081016,0.010,279.69997000,0.010,276.50687328,0.010,277.19470132,0.010,251.72827173,0.010,229.03506578
0.020,281.03394830,0.020,280.84791521,0.020,279.43014246,0.020,279.97400390,0.020,281.03394830,0.020,343.20824577,0.020,281.03394830,0.020,277.93810309,0.020,279.94601350,0.020,279.14204290,0.020,278.81200000,0.020,278.98400000,0.020,278.12400000,0.020,278.65393270,0.020,281.18859430,0.020,281.40607030,0.020,279.27214557,0.020,278.97005150,0.020,271.87762448,0.020,275.75736360,0.020,279.15600000,0.020,534.51777666,0.020,520.64864865,0.020,244.49842555,0.020,283.09784511,0.020,272.15843169,0.020,273.33533353,0.020,279.36990549,0.020,277.42212889,0.020,278.04058782,0.020,255.17758130,0.020,227.46361226
0.030,281.13565930,0.030,281.22000000,0.030,280.34598270,0.030,280.44786564,0.030,281.17782333,0.030,340.83266613,0.030,281.20593970,0.030,278.12400000,0.030,280.89004450,0.030,279.25818545,0.030,278.81200000,0.030,278.98400000,0.030,278.12400000,0.030,278.46800000,0.030,279.34196710,0.030,281.23406170,0.030,280.00199990,0.030,279.11413288,0.030,272.55186203,0.030,275.22752275,0.030,279.14204290,0.030,529.11156715,0.030,517.23109265,0.030,245.89865439,0.030,283.21319670,0.030,271.41600000,0.030,272.96400000,0.030,278.83988399,0.030,277.59412029,0.030,279.05832958,0.030,258.41666250,0.030,226.23655914
0.040,282.25200000,0.040,281.20593970,0.040,280.53200000,0.040,281.56400000,0.040,281.69374594,0.040,338.23078849,0.040,281.36386361,0.040,278.11009450,0.040,280.70400000,0.040,280.14597810,0.040,278.79806010,0.040,278.98400000,0.040,278.12400000,0.040,278.46800000,0.040,279.15600000,0.040,281.07610761,0.040,280.20201010,0.040,279.65801710,0.040,273.42531494,0.040,274.88348835,0.040,279.32800000,0.040,525.44317101,0.040,513.58958959,0.040,244.14234306,0.040,284.18662799,0.040,271.40242988,0.040,272.96400000,0.040,278.49584958,0.040,277.75222478,0.040,280.27591722,0.040,261.98561726,0.040,225.34253425
0.050,282.25200000,0.050,281.39200000,0.050,280.54602730,0.050,281.56400000,0.050,282.25200000,0.050,333.84184184,0.050,281.72191390,0.050,278.28208590,0.050,280.71803590,0.050,280.70400000,0.050,278.97005150,0.050,278.98400000,0.050,278.12400000,0.050,278.48192410,0.050,279.15600000,0.050,280.70400000,0.050,280.01600000,0.050,279.84400000,0.050,274.09947513,0.050,274.53945395,0.050,279.32800000,0.050,522.17206346,0.050,510.09508558,0.050,245.48098546,0.050,283.69892473,0.050,271.54726791,0.050,272.92306154,0.050,278.15181518,0.050,278.11009450,0.050,281.27948820,0.050,266.18843041,0.050,224.98724936
0.060,282.26611331,0.060,281.39200000,0.060,280.36000000,0.060,281.56400000,0.060,282.26611331,0.060,330.39839840,0.060,281.89390530,0.060,278.45407730,0.060,280.53200000,0.060,280.70400000,0.060,279.08622844,0.060,278.98400000,0.060,278.12400000,0.060,278.29600000,0.060,279.15600000,0.060,280.73207321,0.060,280.01600000,0.060,279.84400000,0.060,274.97300540,0.060,274.19541954,0.060,279.32800000,0.060,518.90095591,0.060,506.97092529,0.060,247.37194543,0.060,282.86700345,0.060,272.04959008,0.060,273.43898415,0.060,277.80778078,0.060,278.28208590,0.060,282.68319504,0.060,269.30855316,0.060,224.78152185
0.070,282.08000000,0.070,281.39200000,0.070,280.37401870,0.070,281.56400000,0.070,282.09410471,0.070,326.97131989,0.070,282.05179482,0.070,278.59821027,0.070,280.53200000,0.070,280.70400000,0.070,280.01600000,0.070,278.97005150,0.070,278.11009450,0.070,278.29600000,0.070,279.14204290,0.070,280.47218888,0.070,280.01600000,0.070,279.84400000,0.070,275.64708823,0.070,273.83769188,0.070,279.32800000,0.070,515.29458838,0.070,503.99399550,0.070,249.23799530,0.070,281.66258190,0.070,272.71018694,0.070,273.90013495,0.070,277.46374637,0.070,278.45407730,0.070,283.71488553,0.070,272.07194604,0.070,225.12548745
0.080,282.09410471,0.080,281.37793110,0.080,280.18800000,0.080,281.56400000,0.080,281.92209610,0.080,323.37170888,0.080,282.39576042,0.080,279.12808719,0.080,280.53200000,0.080,280.70400000,0.080,280.01600000,0.080,279.14204290,0.080,278.29600000,0.080,278.29600000,0.080,279.32800000,0.080,279.01190119,0.080,280.01600000,0.080,279.83000850,0.080,276.52069586,0.080,273.66568328,0.080,279.32800000,0.080,514.41664999,0.080,501.36188523,0.080,251.47254285,0.080,280.47218888,0.080,273.70083462,0.080,275.08996401,0.080,277.10585529,0.080,278.62606870,0.080,284.77504499,0.080,274.66373539,0.080,225.37931034
0.090,281.92209610,0.090,281.56400000,0.090,280.20201010,0.090,281.56400000,0.090,281.75008750,0.090,319.61553865,0.090,282.76800000,0.090,279.47205279,0.090,280.54602730,0.090,280.70400000,0.090,280.03000150,0.090,279.31403430,0.090,278.28208590,0.090,278.29600000,0.090,279.32800000,0.090,278.65393270,0.090,280.03000150,0.090,280.01600000,0.090,277.19470132,0.090,273.49367468,0.090,279.32800000,0.090,509.52186676,0.090,499.07449097,0.090,253.69441391,0.090,279.09563826,0.090,275.19312447,0.090,276.49305208,0.090,276.93384669,0.090,278.79806010,0.090,285.47717842,0.090,277.08389547,0.090,227.14385684
